,Lambda,Age,Family_Income_Quantile_2,Family_Income_Quantile_3,Family_Income_Quantile_4,Family_Income_Quantile_5,Fulltime,LSAT,Schl_Ranking_Mean
15,0.15,-0.174855346989842,-0.0029416379409623176,-0.026947135986050454,-0.03999441232505432,0.05994269830617327,0.1176862119479829,0.6665771223200869,1.2621365817800947
16,0.16,-0.17471449829541907,-0.002295719720938618,-0.024757676724814708,-0.036914485520249084,0.062257409278926326,0.11781669472065166,0.6700976980901507,1.2669146592526286
17,0.17,-0.17458922422899273,-0.0016642403121291595,-0.022623878551630294,-0.03391550854185381,0.06451831581329977,0.11794825019482995,0.6735244708885089,1.271617915582643
18,0.18,-0.17448082304803364,-0.0010427749713560759,-0.020541680561404208,-0.030997358199941295,0.06672826523550757,0.11808607584007644,0.6768616055753556,1.2762476282579842
19,0.19,-0.1743877962825767,-0.00043412438079359835,-0.018513775333516835,-0.028159693505946586,0.06888536422407655,0.11822873209843779,0.6801041226229303,1.280800822697724
20,0.2,-0.17431018490662784,0.000162091350612599,-0.01654035016154095,-0.025403242124565205,0.07098919258039348,0.11837634732638609,0.6832513398740638,1.285275784653783
21,0.21000000000000002,-0.1742482084052957,0.0007437464169680247,-0.014630274301647336,-0.022734887404346434,0.0730351208670153,0.11852861904761014,0.6863033705483316,1.2896721561526632
22,0.22000000000000003,-0.17420126379352524,0.0013153938364544857,-0.012769069663908538,-0.02014366130939857,0.07502997161372234,0.1186861718687869,0.6892581542107545,1.293986483803599
23,0.23000000000000004,-0.17416870673254334,0.0018767082239323947,-0.010952941012128566,-0.01762792682664615,0.07697486024618898,0.1188489200240553,0.6921136009815838,1.2982163639742041
24,0.24,-0.17415158431170835,0.0024228662837935512,-0.009204684456207405,-0.015204275247247745,0.07885875091625308,0.11901608915303612,0.69487265875845,1.3023640252737179
25,0.25,-0.1741491760888018,0.002955182120591829,-0.007515338258628148,-0.012866799883504759,0.08068547896200354,0.11918800600248047,0.6975330875506427,1.30642681910301
26,0.26,-0.1741617289226584,0.003472324994133201,-0.005886531776289072,-0.010617154950144234,0.08245377614499737,0.11936413820970523,0.7000951320573267,1.310403724331884
27,0.27,-0.17418927271029144,0.003977021512437464,-0.004317125528040867,-0.008453191283697283,0.08416491895250475,0.11954619419425241,0.7025576187294549,1.3142932684933257
28,0.28,-0.17423065476393113,0.004467150935915567,-0.0028072005294134,-0.006374508344464615,0.08581822902221804,0.11973237283580027,0.7049198308232674,1.3180963514499016
29,0.29,-0.17428509793970437,0.004945333145961876,-0.001353246804140413,-0.004384667462044975,0.08741422825625415,0.11992351686228404,0.707180379239768,1.3218075841625794
30,0.3,-0.17435303414110215,0.005408198836455204,4.125054531512462e-05,-0.0024812894708114265,0.08895121347037035,0.12011821489268619,0.7093401363207558,1.3254287001259075
31,0.31,-0.17443448777191567,0.0058568119022994105,0.0013758272855232151,-0.0006654158090903417,0.09042929611842059,0.1203171435421504,0.7113992134531015,1.3289589076573598
32,0.32,-0.17452927400640195,0.0062910455687086005,0.00265028269600658,0.001062712117265524,0.0918481980904311,0.12052032601829063,0.7133574975537471,1.33239744244812
33,0.33,-0.17463815661187654,0.006709605784145064,0.0038623245476288592,0.002702470219971316,0.09320715332142392,0.12072880468481642,0.7152152132883567,1.3357438922825098
34,0.34,-0.17475899929109603,0.00711410493211969,0.005015481380249716,0.00425392966689839,0.09450665666537458,0.12094052786253548,0.7169716335987725,1.338996958767537
35,0.35,-0.1748923594586554,0.0075034425316275,0.006107607880559256,0.005716576338352207,0.09574610887456367,0.12115630007798792,0.7186271986423465,1.3421566058433005
36,0.36,-0.1750389644861652,0.007876826922748945,0.007136914933098325,0.007090629275000253,0.0969249760382009,0.121376885309975,0.7201827763157089,1.3452228713767398
37,0.37,-0.1751954108240621,0.008237028734996201,0.008109152647774662,0.008375937688108296,0.09804495036614545,0.1215990188524478,0.7216373991453017,1.348194838296504
38,0.38,-0.17536447737786304,0.00858080443768491,0.009017758098550838,0.00957260227315635,0.09910411778426069,0.12182581901475457,0.7229920106912171,1.3510725167431392
39,0.39,-0.17554468715768332,0.008909633617276962,0.009865300132557181,0.010681036335096632,0.10010345393476217,0.12205584944080179,0.7242469435876446,1.35385589265959
40,0.4,-0.17573547861589506,0.009223988122217534,0.01065206646664004,0.011701664741486149,0.10104316468585295,0.12228863955109821,0.7254026901956842,1.3565448651526697
41,0.41,-0.17593533946211545,0.009523682331873742,0.011378934482412378,0.012632268766648946,0.10192219656713,0.12252202930196628,0.7264601167106931,1.3591389994175773
42,0.42000000000000004,-0.17614729645982766,0.009810380162429386,0.012046511000335377,0.013480795180453581,0.10274258144634833,0.12275953615030799,0.727420720455691,1.3616378946106908
43,0.43,-0.1763701606080227,0.010077831548365068,0.01264850848257098,0.014235732352212038,0.10349988647803357,0.12299980084105677,0.7282850515480304,1.364042841707678
44,0.44000000000000006,-0.17660446796960733,0.010327504675713025,0.013189558392414386,0.014904874685223385,0.10419827359081538,0.12324529289991419,0.729051232624817,1.366354508259146
45,0.45,-0.17684898616084002,0.010559391658390512,0.013665632200502301,0.01548337724835154,0.10483558634712757,0.12349399626244537,0.7297217125782937,1.3685731721042025
46,0.4600000000000001,-0.1771021328290864,0.01077770319832432,0.014083522597837489,0.01597830274729629,0.10541533443961049,0.12374496190977988,0.7302956532193552,1.3706975375890778
47,0.4699999999999999,-0.17736517038964233,0.010979054171059694,0.014440236954060937,0.01638491140297237,0.10593451594725489,0.12399716807175512,0.7307781413977327,1.372728947613084
48,0.48,-0.17763725652080323,0.011164420254642895,0.014737021611428558,0.016706253298308868,0.1063950280786736,0.12425148900866896,0.731167230647882,1.374667346497172
49,0.49000000000000005,-0.17791815987389636,0.011333459340089714,0.014973658706687404,0.016942455845474828,0.10679701188532076,0.12450785863403144,0.7314639040547053,1.3765134085215525
50,0.5,-0.1782060856298159,0.011486690732939734,0.015152524961364522,0.017092688109183494,0.10714107535473387,0.12476441402165792,0.7316688391093936,1.378267171577112
51,0.51,-0.1785039713510849,0.011622551448069724,0.01526924194606553,0.017159787026460968,0.10742698901617483,0.12502462920577231,0.7317838032407223,1.379930674935004
52,0.52,-0.17880854574652383,0.01174029692355269,0.015326263941697088,0.017139988514392822,0.10765454144480142,0.12528525411060262,0.7318082297166244,1.3815038826553256
53,0.53,-0.17912286844037634,0.011843460086613116,0.015324052345464028,0.017040761838917923,0.1078261620685004,0.12554922041961186,0.7317463949399787,1.3829883079982976
54,0.54,-0.17944575382339475,0.011931252504923212,0.015266592911610918,0.016863607316595836,0.10794334966426689,0.12581585052813854,0.7315974502836838,1.3843856374302588
55,0.55,-0.17977589149823003,0.012003327901144075,0.0151515261083601,0.016605346375659406,0.10800420892269443,0.12608265077471675,0.7313646875376258,1.3856947610530705
56,0.56,-0.18011307921496458,0.012056695511921942,0.014975052395371159,0.016262165458508702,0.10800747745752748,0.1263503548667007,0.7310474056067711,1.3869176222692041
57,0.57,-0.18045726263104628,0.012093691993707975,0.01474150670850849,0.015839535628569067,0.10795563975295633,0.1266186506551637,0.7306475137149491,1.3880545106767948
58,0.58,-0.18080845773128534,0.012114165577964636,0.014450439044828674,0.015337474584171415,0.10784908883465753,0.12688804995699907,0.7301659792633697,1.389106185417189
59,0.59,-0.18116634465522077,0.012117619521886796,0.014102534774576288,0.014756680590482176,0.10768825688699155,0.1271584157392621,0.729603751809691,1.3900736222999464
60,0.6,-0.18153079634577507,0.012104265609216378,0.01369890737818102,0.014098241448691002,0.10747408531337006,0.1274298372527582,0.7289619675283758,1.390957846342644
61,0.61,-0.18190128178924764,0.012075066316227076,0.013241377597770554,0.013364263813239907,0.10720808236255149,0.12770192923946586,0.7282419334802296,1.391760256335973
62,0.62,-0.1822768555702339,0.012030436766996647,0.01273100959323945,0.012556010475910182,0.10689102764893124,0.12797385911063017,0.7274450896181879,1.3924825666867684
63,0.63,-0.1826580374435243,0.011971104801196206,0.012166159261352835,0.011674228310667433,0.10652294406007996,0.12824535314586338,0.7265748410705142,1.3931265869138048
64,0.64,-0.18304447129788734,0.011895789351769465,0.011548521130468002,0.010719744166655224,0.10610451480508451,0.12851649491070538,0.7256309242154615,1.3936921017080874
